LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002641504-0002-1,THE PIZZA STUDIO OPERATING COMPANY LLC,THE PIZZA STUDIO,735 S FIGUEROA STREET SUITE #115,LOS ANGELES,90017-2561,735 FIGUEROA 90017-2561,26010 MUREAU ROAD APARTMENT #140,CALABASAS,91302-3173,722211,Limited-service eating places,14,09/15/2013,,"(34.0488, -118.2603)"
0002781728-0001-5,BERRI'S PIZZA WESTWOOD INC,BERR'S PIZZA,11078 SANTA MONICA BLVD,LOS ANGELES,90025-3561,11078 SANTA MONICA 90025-3561,8412 W 3RD STREET,LOS ANGELES,90048-4112,722211,Limited-service eating places,5,11/01/2014,,"(34.0476, -118.4439)"
0002375344-0083-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 30641,2405 S VERMONT AVENUE,LOS ANGELES,90007-1661,2405 VERMONT 90007-1661,POST OFFICE BOX #638,NIXA,65714-0638,722300,Special food services (including food service contractors & caterers),8,11/15/2014,,"(34.0342, -118.2915)"
0002774951-0001-6,MELODY PIZZA LLC,,9146 S SEPULVEDA BLVD,LOS ANGELES,90045-4804,9146 SEPULVEDA 90045-4804,9132 S SEPULVEDA BLVD,LOS ANGELES,90045-4804,722211,Limited-service eating places,11,09/20/2014,,"(33.9533, -118.3961)"
0002604292-0007-7,PIE SQUARED PIZZA LLC,,3150 WILSHIRE BLVD SUITE #114,LOS ANGELES,90010-1204,3150 WILSHIRE 90010-1204,2535 TOWNSGATE ROAD SUITE #101,WESTLAKE VILLAGE,91361-5967,722110,Full-service restaurants,10,10/01/2014,,"(34.0617, -118.2905)"
0002844564-0001-7,IPIZZA LLC,EXTREME PIZZA,1067 GLENDON AVENUE,LOS ANGELES,90024-2907,1067 GLENDON 90024-2907,,,,722211,Limited-service eating places,5,07/30/2015,,"(34.0613, -118.4443)"
0002817549-0001-5,DELICIOUS PIZZA LLC,,16000 VENTURA BLVD SUITE #1102,ENCINO,91436-2767,16000 VENTURA 91436-2767,649 BEACHPORT DRIVE,PORT HUENEME,93041-3066,999999,Unclassified establishments (unable to classify),5,01/02/2015,,"(34.156, -118.4814)"
0002861109-0001-6,"GODSONS PIZZA, LLC",GODSON' S PIZZA,22417 S VERMONT AVENUE,TORRANCE,90502-2449,22417 VERMONT 90502,22417 S VERMONT AVENUE,TORRANCE,90502-2449,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",0,11/15/2015,,"(33.8229, -118.2903)"
0002805079-0001-4,PIZZA BROTHER INC,D'AMORES PIZZA,1136 WESTWOOD BLVD,LOS ANGELES,90024-3412,1136 WESTWOOD 90024-3412,,,,722110,Full-service restaurants,5,09/01/2014,,"(34.0601, -118.445)"
0002780105-0001-8,NIKKIS PIZZA INC,,16851 VICTORY BLVD #9,VAN NUYS,91406-5560,16851 VICTORY 91406-5560,,,,722110,Full-service restaurants,6,10/10/2014,,"(34.1866, -118.5002)"
0002838413-0001-9,WHITE HOUSE PIZZA CAFE INC,,6541 HOLLYWOOD BLVD SUITE #101,LOS ANGELES,90028-6271,6541 HOLLYWOOD 90028,6541 HOLLYWOOD BLVD SUITE #101,LOS ANGELES,90028-6271,722110,Full-service restaurants,13,06/26/2015,,"(34.1015, -118.3323)"
0002803695-0001-8,90-SECOND PIZZA LLC,,8834 W PICO BLVD,LOS ANGELES,90035-3302,8834 PICO 90035,9595 WILSHIRE BLVD SUITE #502,BEVERLY HILLS,90212-2505,722211,Limited-service eating places,5,01/01/2015,,"(34.0549, -118.3845)"
0002641504-0001-2,THE PIZZA STUDIO OPERATING COMPANY LLC,THE PIZZA STUDIO,3584 S FIGUEROA STREET,LOS ANGELES,90007-4313,3584 FIGUEROA 90007-4313,26010 MUREAU ROAD APARTMENT #140,CALABASAS,91302-3173,722211,Limited-service eating places,9,12/01/2012,,"(34.0191, -118.2817)"
0002375344-0004-7,SOUTHERN CALIFORNIA PIZZA CO LLC,PIZZA HUT 25408,611 E IMPERIAL HIGHWAY,LOS ANGELES,90059-2358,611 IMPERIAL 90059-2358,POST OFFICE BOX #638,NIXA,65714-0638,722110,Full-service restaurants,15,10/01/2008,,"(33.931, -118.2635)"
0000300286-0001-8,PAPA JOHN'S PIZZA,,8823 W PICO BLVD #A,LOS ANGELES,90035-3301,8823 PICO 90035-3301,,,,722110,Full-service restaurants,5,,,"(34.0548, -118.3842)"
0000156082-0001-8,SANTORINI PIZZA,,18345 VANOWEN STREET,RESEDA,91335-5439,18345 VANOWEN 91335,,,,722110,Full-service restaurants,3,,,"(34.1938, -118.5326)"
0000540305-0001-9,RAFFALO'S PIZZA,,1657 N LA BREA AVENUE,LOS ANGELES,90028-6901,1657 LA BREA 90028-6901,,,,722110,Full-service restaurants,13,,,"(34.1012, -118.345)"
0000043780-0001-2,"PIZZA GUY FILM,LLC",,7033 W SUNSET BLVD #314,LOS ANGELES,90028-7564,7033 SUNSET 90028,,,,512100,Motion picture & video industries (except video rental),4,,,"(34.0979, -118.3426)"
0000943452-0002-3,AMECI PIZZA KITCHEN,,12450 BURBANK BLVD UNIT #M,NORTH HOLLYWOOD,91607-4740,12450 BURBANK 91607-4740,,,,722110,Full-service restaurants,2,05/15/2010,,"(34.1721, -118.4041)"
0002563447-0001-4,MUSE PIZZA LLC,JOE'S PIZZA ON HOLLYWOOD,6504 HOLLYWOOD BLVD,LOS ANGELES,90028-6210,6504 HOLLYWOOD 90028-6210,6508   HOLLYWOOD BLVD,LOS ANGELES,90028-6210,722211,Limited-service eating places,13,05/01/2011,,"(34.1015, -118.3311)"
0002890482-0001-0,OLD SICILY PIZZA,,12061   STRATHERN STREET,NORTH HOLLYWOOD,91605-1415,12061 STRATHERN 91605-1415,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",6,06/08/2015,,"(34.2158, -118.3959)"
0002848267-0001-5,FAMOUS PIZZA JOINT INC,BIG MAMA'S AND PAPA'S PIZZERIA,5219 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601-3110,5219 LANKERSHIM 91601-3110,5219 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601-3110,722211,Limited-service eating places,2,08/01/2015,,"(34.1654, -118.3749)"
0002664632-0001-7,I-PIZZA TUMBY'S INC,TUMBYS PIZZA,3567 S WESTERN AVENUE,LOS ANGELES,90018-3825,3567 WESTERN 90018-3825,1800 W 39TH STREET,LOS ANGELES,90062-1020,722110,Full-service restaurants,8,02/26/2013,,"(34.0234, -118.3088)"
0000532043-0004-2,PRIMA PIZZA INC,DOMINOS PIZZA,4257 W 3RD STREET,LOS ANGELES,90020-3448,4257 3RD 90020-3448,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,10,06/01/2004,,"(34.0691, -118.307)"
0000685939-0001-4,NICKY D'S WOOD-FIRED PIZZA LLC,,2764 ROWENA AVENUE,LOS ANGELES,90039-2721,2764 ROWENA 90039-2721,,,,722110,Full-service restaurants,4,08/01/2002,,"(34.1074, -118.2642)"
0000337157-0001-3,NY PIZZA CO INC ET AL,,1066 GAYLEY AVENUE,LOS ANGELES,90024-3402,1066 GAYLEY 90024-3402,,,,424400,Grocery & related products,5,10/21/1980,,"(34.0612, -118.4473)"
0002103837-0001-3,TONY PIZZA,,1527 N MCCADDEN PLACE APARTMENT #21,LOS ANGELES,90028-7186,1527 MCCADDEN 90028-7186,1330   QUINTERO STREET   APARTMENT #1,LOS ANGELES,90026-7100,,,13,01/01/2000,,"(34.0984, -118.3375)"
0002645058-0001-7,PIT FIRE PIZZA CO INC,,1905 LINCOLN BLVD,VENICE,90291-3909,1905 LINCOLN 90291-3909,2434   LINCOLN BLVD   FLOOR #3,VENICE,90291-6035,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",11,08/15/1997,,"(33.9959, -118.4567)"
0002911284-0001-4,PUNKS PIZZA GARAGE INC,PABLITOS PERUVIAN KITCHEN,1619 S BENTLEY AVENUE   #201,LOS ANGELES,90025-3586,1619 BENTLEY 90025-3586,,,,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",5,05/01/2016,,"(34.049, -118.4445)"
0002905399-0001-1,ALL STAR PIZZA 8 LLC,ALL STAR PIZZA 8,3272 W SLAUSON AVENUE,LOS ANGELES,90043-2564,3272 SLAUSON 90043-2564,,,,722110,Full-service restaurants,8,03/01/2016,,"(33.9889, -118.3293)"
0002888007-0001-2,BRAVO PIZZA AND CHICKEN LLC,,10544   MAGNOLIA BLVD,NORTH HOLLYWOOD,91601-4115,10544 MAGNOLIA 91601-4115,,,,722211,Limited-service eating places,4,02/04/2016,,"(34.1648, -118.3607)"
0002916667-0001-0,"DELICIOUS PIZZA SUNSET BLVD, LLC",,6601 W SUNSET BLVD,LOS ANGELES,90028-7103,6601 SUNSET 90028,6601 W SUNSET BLVD,LOS ANGELES,90028-7103,722211,Limited-service eating places,13,08/01/2016,,"(34.0982, -118.3335)"
0002921121-0001-7,WKS PIZZA CORP,BLAZE PIZZA #1182,7888   VAN NUYS BLVD,PANORAMA CITY,91402-6069,7888 VAN NUYS 91402,POST OFFICE BOX #39,LAKEWOOD,90714-0039,,,6,11/17/2016,,"(34.2154, -118.4476)"
0002896980-0001-5,BRAAZO PIZZA INC,,100  1/2 W 7TH STREET,LOS ANGELES,90014-1906,100 7TH 90014-1906,,,,722110,Full-service restaurants,14,03/21/2016,,"(34.0438, -118.2515)"
0002922242-0001-4,PIZZA 90 INC,PIZZA 90,15301   VENTURA BLVD   SPACE #P11,SHERMAN OAKS,91403-5891,15301 VENTURA 91403-5891,8871   RESEARCH DRIVE,IRVINE,92618-4236,722110,Full-service restaurants,4,07/20/2016,,"(34.1558, -118.4674)"
